t1	e11	e21	t2	e12	e22
10	0.001006766	0.001002083	3.73	0.001164955	0.001162209
10	0.001006766	0.001002083	3.74	0.001164766	0.001162043
10	0.001006766	0.001002083	3.75	0.001164563	0.001161863
10	0.001006766	0.001002083	3.76	0.001164345	0.001161668
10	0.001006766	0.001002083	3.77	0.001164113	0.00116146
10	0.001006766	0.001002083	3.78	0.001163866	0.001161237
10	0.001006766	0.001002083	3.79	0.001163606	0.001161001
10	0.001006766	0.001002083	3.8	0.001163332	0.001160751
10	0.001006766	0.001002083	3.81	0.001163044	0.001160487
10	0.001006766	0.001002083	3.82	0.001162743	0.00116021
10	0.001006766	0.001002083	3.83	0.001162428	0.00115992
10	0.001006766	0.001002083	3.84	0.001162101	0.001159617
10	0.001006766	0.001002083	3.85	0.00116176	0.001159301
10	0.001006766	0.001002083	3.86	0.001161407	0.001158973
10	0.001006766	0.001002083	3.87	0.001161041	0.001158631
10	0.001006766	0.001002083	3.88	0.001160662	0.001158278
10	0.001006766	0.001002083	3.89	0.001160272	0.001157912
10	0.001006766	0.001002083	3.9	0.001159869	0.001157534
10	0.001006766	0.001002083	3.91	0.001159454	0.001157144
10	0.001006766	0.001002083	3.92	0.001159027	0.001156742
10	0.001006766	0.001002083	3.93	0.001158588	0.001156329
10	0.001006766	0.001002083	3.94	0.001158138	0.001155905
10	0.001006766	0.001002083	3.95	0.001157677	0.001155469
10	0.001006766	0.001002083	3.96	0.001157204	0.001155022
10	0.001006766	0.001002083	3.97	0.001156721	0.001154564
10	0.001006766	0.001002083	3.98	0.001156226	0.001154095
10	0.001006766	0.001002083	3.99	0.001155721	0.001153615
10	0.001006766	0.001002083	4	0.001155205	0.001153125
10	0.001006766	0.001002083	4.01	0.001154679	0.001152625
10	0.001006766	0.001002083	4.02	0.001154143	0.001152114
10	0.001006766	0.001002083	4.03	0.001153596	0.001151594
10	0.001006766	0.001002083	4.04	0.00115304	0.001151063
10	0.001006766	0.001002083	4.05	0.001152473	0.001150523
10	0.001006766	0.001002083	4.06	0.001151897	0.001149973
10	0.001006766	0.001002083	4.07	0.001151312	0.001149413
10	0.001006766	0.001002083	4.08	0.001150717	0.001148845
10	0.001006766	0.001002083	4.09	0.001150113	0.001148267
10	0.001006766	0.001002083	4.1	0.0011495	0.00114768
10	0.001006766	0.001002083	4.11	0.001148878	0.001147084
10	0.001006766	0.001002083	4.12	0.001148248	0.00114648
10	0.001006766	0.001002083	4.13	0.001147609	0.001145867
10	0.001006766	0.001002083	4.14	0.001146961	0.001145246
10	0.001006766	0.001002083	4.15	0.001146305	0.001144616
10	0.001006766	0.001002083	4.16	0.001145641	0.001143978
10	0.001006766	0.001002083	4.17	0.001144969	0.001143333
10	0.001006766	0.001002083	4.18	0.001144289	0.001142679
10	0.001006766	0.001002083	4.19	0.001143602	0.001142018
10	0.001006766	0.001002083	4.2	0.001142906	0.001141349
10	0.001006766	0.001002083	4.21	0.001142204	0.001140673
10	0.001006766	0.001002083	4.22	0.001141494	0.001139989
10	0.001006766	0.001002083	4.23	0.001140777	0.001139299
10	0.001006766	0.001002083	4.24	0.001140053	0.001138601
10	0.001006766	0.001002083	4.25	0.001139323	0.001137897
10	0.001006766	0.001002083	4.26	0.001138585	0.001137186
10	0.001006766	0.001002083	4.27	0.001137841	0.001136468
10	0.001006766	0.001002083	4.28	0.001137091	0.001135744
10	0.001006766	0.001002083	4.29	0.001136334	0.001135013
10	0.001006766	0.001002083	4.3	0.001135571	0.001134277
10	0.001006766	0.001002083	4.31	0.001134802	0.001133534
10	0.001006766	0.001002083	4.32	0.001134028	0.001132785
10	0.001006766	0.001002083	4.33	0.001133247	0.001132031
10	0.001006766	0.001002083	4.34	0.001132461	0.001131271
10	0.001006766	0.001002083	4.35	0.00113167	0.001130506
10	0.001006766	0.001002083	4.36	0.001130873	0.001129735
10	0.001006766	0.001002083	4.37	0.001130071	0.001128959
10	0.001006766	0.001002083	4.38	0.001129264	0.001128178
10	0.001006766	0.001002083	4.39	0.001128452	0.001127391
10	0.001006766	0.001002083	4.4	0.001127635	0.0011266
10	0.001006766	0.001002083	4.41	0.001126813	0.001125805
10	0.001006766	0.001002083	4.42	0.001125987	0.001125004
10	0.001006766	0.001002083	4.43	0.001125157	0.001124199
10	0.001006766	0.001002083	4.44	0.001124322	0.00112339
10	0.001006766	0.001002083	4.45	0.001123483	0.001122577
10	0.001006766	0.001002083	4.46	0.00112264	0.001121759
10	0.001006766	0.001002083	4.47	0.001121793	0.001120938
10	0.001006766	0.001002083	4.48	0.001120942	0.001120113
10	0.001006766	0.001002083	4.49	0.001120088	0.001119284
10	0.001006766	0.001002083	4.5	0.00111923	0.001118451
10	0.001006766	0.001002083	4.51	0.001118369	0.001117615
10	0.001006766	0.001002083	4.52	0.001117504	0.001116775
10	0.001006766	0.001002083	4.53	0.001116636	0.001115932
10	0.001006766	0.001002083	4.54	0.001115765	0.001115086
